Date,Country,ActiveUsers
2023-07-18,Argentina,14522
2023-07-18,Chile,2333
2023-07-18,Colombia,2545
2023-07-18,Mexico,916
2023-07-18,Morocco,636
2023-07-18,Paraguay,826
2023-07-18,Peru,734
2023-07-18,Spain,3208
2023-07-18,Uruguay,937
2023-07-18,"Venezuela, Bolivarian Republic of",2071
2023-07-19,Argentina,14457
2023-07-19,Chile,2367
2023-07-19,Colombia,2567
2023-07-19,Mexico,909
2023-07-19,Morocco,621
2023-07-19,Paraguay,820
2023-07-19,Peru,673
2023-07-19,Spain,3101
2023-07-19,Uruguay,1680
2023-07-19,"Venezuela, Bolivarian Republic of",1928
2023-07-20,Argentina,14698
2023-07-20,Chile,2329
2023-07-20,Colombia,1357
2023-07-20,Mexico,892
2023-07-20,Morocco,502
2023-07-20,Paraguay,816
2023-07-20,Peru,719
2023-07-20,Spain,3090
2023-07-20,Uruguay,1647
2023-07-20,"Venezuela, Bolivarian Republic of",2036
2023-07-21,Argentina,13494
2023-07-21,Chile,2060
2023-07-21,Colombia,2156
2023-07-21,Mexico,898
2023-07-21,Morocco,482
2023-07-21,Paraguay,746
2023-07-21,Peru,661
2023-07-21,Spain,2812
2023-07-21,Uruguay,1471
2023-07-21,"Venezuela, Bolivarian Republic of",1930
2023-07-22,Argentina,9496
2023-07-22,Chile,1121
2023-07-22,Colombia,1495
2023-07-22,Mexico,680
2023-07-22,Morocco,570
2023-07-22,Paraguay,531
2023-07-22,Peru,500
2023-07-22,Spain,2912
2023-07-22,Uruguay,865
2023-07-22,"Venezuela, Bolivarian Republic of",1638
2023-07-23,Argentina,7973
2023-07-23,Chile,931
2023-07-23,Colombia,1589
2023-07-23,Mexico,585
2023-07-23,Morocco,654
2023-07-23,Paraguay,390
2023-07-23,Peru,503
2023-07-23,Spain,2977
2023-07-23,Uruguay,788
2023-07-23,"Venezuela, Bolivarian Republic of",1534
2023-07-24,Argentina,13686
2023-07-24,Chile,2186
2023-07-24,Colombia,2765
2023-07-24,Mexico,997
2023-07-24,Morocco,693
2023-07-24,Paraguay,906
2023-07-24,Peru,708
2023-07-24,Spain,3287
2023-07-24,Uruguay,1773
2023-07-24,"Venezuela, Bolivarian Republic of",1722
2023-07-25,Argentina,13676
2023-07-25,Chile,2445
2023-07-25,Colombia,2859
2023-07-25,Mexico,965
2023-07-25,Morocco,621
2023-07-25,Paraguay,966
2023-07-25,Peru,696
2023-07-25,Spain,2987
2023-07-25,Uruguay,1789
2023-07-25,"Venezuela, Bolivarian Republic of",2043
2023-07-26,Argentina,14192
2023-07-26,Chile,2514
2023-07-26,Colombia,2787
2023-07-26,Mexico,1012
2023-07-26,Morocco,657
2023-07-26,Paraguay,897
2023-07-26,Peru,678
2023-07-26,Spain,3174
2023-07-26,Uruguay,1860
2023-07-26,"Venezuela, Bolivarian Republic of",2104
2023-07-27,Argentina,13893
2023-07-27,Chile,2526
2023-07-27,Colombia,2754
2023-07-27,Mexico,987
2023-07-27,Morocco,489
2023-07-27,Paraguay,925
2023-07-27,Peru,700
2023-07-27,Spain,2925
2023-07-27,Uruguay,1923
2023-07-27,"Venezuela, Bolivarian Republic of",2152
2023-07-28,Argentina,13403
2023-07-28,Chile,2830
2023-07-28,Colombia,2721
2023-07-28,Mexico,944
2023-07-28,Morocco,427
2023-07-28,Paraguay,852
2023-07-28,Peru,528
2023-07-28,Spain,2975
2023-07-28,Uruguay,1843
2023-07-28,"Venezuela, Bolivarian Republic of",2061
2023-07-29,Argentina,9352
2023-07-29,Chile,1443
2023-07-29,Colombia,1728
2023-07-29,Mexico,747
2023-07-29,Morocco,409
2023-07-29,Paraguay,599
2023-07-29,Peru,488
2023-07-29,Spain,2209
2023-07-29,Uruguay,1026
2023-07-29,"Venezuela, Bolivarian Republic of",1613
2023-07-30,Argentina,7736
2023-07-30,Chile,1118
2023-07-30,Colombia,1388
2023-07-30,Mexico,622
2023-07-30,Morocco,378
2023-07-30,Paraguay,427
2023-07-30,Peru,461
2023-07-30,Spain,2009
2023-07-30,Uruguay,870
2023-07-30,"Venezuela, Bolivarian Republic of",1444
2023-07-31,Argentina,14912
2023-07-31,Chile,2485
2023-07-31,Colombia,2774
2023-07-31,Mexico,936
2023-07-31,Morocco,372
2023-07-31,Paraguay,903
2023-07-31,Peru,713
2023-07-31,Spain,2873
2023-07-31,Uruguay,1892
2023-07-31,"Venezuela, Bolivarian Republic of",1999
2023-08-01,Argentina,15740
2023-08-01,Chile,2702
2023-08-01,Colombia,2897
2023-08-01,Mexico,978
2023-08-01,Morocco,540
2023-08-01,Paraguay,962
2023-08-01,Peru,720
2023-08-01,Spain,2949
2023-08-01,Uruguay,1988
2023-08-01,"Venezuela, Bolivarian Republic of",2059
2023-08-02,Argentina,16132
2023-08-02,Chile,2771
2023-08-02,Colombia,2938
2023-08-02,Mexico,1020
2023-08-02,Morocco,508
2023-08-02,Paraguay,978
2023-08-02,Peru,735
2023-08-02,Spain,2961
2023-08-02,Uruguay,2008
2023-08-02,"Venezuela, Bolivarian Republic of",2182
2023-08-03,Argentina,16652
2023-08-03,Chile,2736
2023-08-03,Colombia,3006
2023-08-03,Mexico,965
2023-08-03,Morocco,516
2023-08-03,Paraguay,1063
2023-08-03,Peru,737
2023-08-03,Spain,2921
2023-08-03,Uruguay,2168
2023-08-03,"Venezuela, Bolivarian Republic of",2218
2023-08-04,Argentina,16003
2023-08-04,Chile,2516
2023-08-04,Colombia,2894
2023-08-04,Mexico,995
2023-08-04,Morocco,560
2023-08-04,Paraguay,1001
2023-08-04,Peru,722
2023-08-04,Spain,2764
2023-08-04,Uruguay,2151
2023-08-04,"Venezuela, Bolivarian Republic of",2200
2023-08-05,Argentina,9851
2023-08-05,Chile,1346
2023-08-05,Colombia,1808
2023-08-05,Mexico,752
2023-08-05,Morocco,554
2023-08-05,Paraguay,671
2023-08-05,Peru,593
2023-08-05,Spain,2162
2023-08-05,Uruguay,1159
2023-08-05,"Venezuela, Bolivarian Republic of",1783
2023-08-06,Argentina,7958
2023-08-06,Chile,1113
2023-08-06,Colombia,1385
2023-08-06,Mexico,695
2023-08-06,Morocco,465
2023-08-06,Paraguay,444
2023-08-06,Peru,460
2023-08-06,Spain,1926
2023-08-06,Uruguay,886
2023-08-06,"Venezuela, Bolivarian Republic of",1468
2023-08-07,Argentina,16103
2023-08-07,Chile,2662
2023-08-07,Colombia,1482
2023-08-07,Mexico,1007
2023-08-07,Morocco,499
2023-08-07,Paraguay,1122
2023-08-07,Peru,797
2023-08-07,Spain,2700
2023-08-07,Uruguay,2192
2023-08-07,"Venezuela, Bolivarian Republic of",2169
2023-08-08,Argentina,16815
2023-08-08,Chile,2880
2023-08-08,Colombia,3194
2023-08-08,Mexico,1044
2023-08-08,Morocco,426
2023-08-08,Paraguay,1092
2023-08-08,Peru,762
2023-08-08,Spain,2691
2023-08-08,Uruguay,2263
2023-08-08,"Venezuela, Bolivarian Republic of",2241
2023-08-09,Argentina,16880
2023-08-09,Chile,2911
2023-08-09,Colombia,3243
2023-08-09,Mexico,1095
2023-08-09,Morocco,485
2023-08-09,Paraguay,1047
2023-08-09,Peru,770
2023-08-09,Spain,2813
2023-08-09,Uruguay,2232
2023-08-09,"Venezuela, Bolivarian Republic of",2213
2023-08-10,Argentina,16850
2023-08-10,Chile,2861
2023-08-10,Colombia,3252
2023-08-10,Mexico,1061
2023-08-10,Morocco,481
2023-08-10,Paraguay,1000
2023-08-10,Peru,837
2023-08-10,Spain,2853
2023-08-10,Uruguay,2377
2023-08-10,"Venezuela, Bolivarian Republic of",2248
2023-08-11,Argentina,15914
2023-08-11,Chile,2543
2023-08-11,Colombia,3100
2023-08-11,Mexico,1107
2023-08-11,Morocco,694
2023-08-11,Paraguay,1034
2023-08-11,Peru,813
2023-08-11,Spain,2794
2023-08-11,Uruguay,2167
2023-08-11,"Venezuela, Bolivarian Republic of",2207
2023-08-12,Argentina,9244
2023-08-12,Chile,1262
2023-08-12,Colombia,1991
2023-08-12,Mexico,811
2023-08-12,Morocco,631
2023-08-12,Paraguay,657
2023-08-12,Peru,621
2023-08-12,Spain,2155
2023-08-12,Uruguay,1200
2023-08-12,"Venezuela, Bolivarian Republic of",1697
2023-08-13,Argentina,8060
2023-08-13,Chile,1050
2023-08-13,Colombia,1476
2023-08-13,Mexico,700
2023-08-13,Morocco,636
2023-08-13,Paraguay,425
2023-08-13,Peru,550
2023-08-13,Spain,2040
2023-08-13,Uruguay,931
2023-08-13,"Venezuela, Bolivarian Republic of",1482
2023-08-14,Argentina,15345
2023-08-14,Chile,1987
2023-08-14,Colombia,3181
2023-08-14,Mexico,1092
2023-08-14,Morocco,662
2023-08-14,Paraguay,960
2023-08-14,Peru,777
2023-08-14,Spain,2623
2023-08-14,Uruguay,2202
2023-08-14,"Venezuela, Bolivarian Republic of",2134
2023-08-15,Argentina,16077
2023-08-15,Chile,1261
2023-08-15,Colombia,3287
2023-08-15,Mexico,1072
2023-08-15,Morocco,1021
2023-08-15,Paraguay,498
2023-08-15,Peru,785
2023-08-15,Spain,2117
2023-08-15,Uruguay,2371
2023-08-15,"Venezuela, Bolivarian Republic of",2224
2023-08-16,Argentina,16334
2023-08-16,Chile,2904
2023-08-16,Colombia,3349
2023-08-16,Mexico,1110
2023-08-16,Morocco,918
2023-08-16,Paraguay,1070
2023-08-16,Peru,833
2023-08-16,Spain,2648
2023-08-16,Uruguay,2507
2023-08-16,"Venezuela, Bolivarian Republic of",2205
2023-08-17,Argentina,15257
2023-08-17,Chile,2865
2023-08-17,Colombia,3384
2023-08-17,Mexico,1060
2023-08-17,Morocco,892
2023-08-17,Paraguay,1024
2023-08-17,Peru,792
2023-08-17,Spain,2696
2023-08-17,Uruguay,2082
2023-08-17,"Venezuela, Bolivarian Republic of",1972
2023-08-18,Argentina,14694
2023-08-18,Chile,2761
2023-08-18,Colombia,3078
2023-08-18,Mexico,1055
2023-08-18,Morocco,878
2023-08-18,Paraguay,1013
2023-08-18,Peru,787
2023-08-18,Spain,2705
2023-08-18,Uruguay,2261
2023-08-18,"Venezuela, Bolivarian Republic of",1767
2023-08-19,Argentina,7961
2023-08-19,Chile,1357
2023-08-19,Colombia,1886
2023-08-19,Mexico,762
2023-08-19,Morocco,870
2023-08-19,Paraguay,627
2023-08-19,Peru,593
2023-08-19,Spain,2033
2023-08-19,Uruguay,1142
2023-08-19,"Venezuela, Bolivarian Republic of",1340
2023-08-20,Argentina,6394
2023-08-20,Chile,1134
2023-08-20,Colombia,1381
2023-08-20,Mexico,611
2023-08-20,Morocco,1095
2023-08-20,Paraguay,429
2023-08-20,Peru,542
2023-08-20,Spain,1938
2023-08-20,Uruguay,979
2023-08-20,"Venezuela, Bolivarian Republic of",1103
2023-08-21,Argentina,6774
2023-08-21,Chile,2816
2023-08-21,Colombia,1424
2023-08-21,Mexico,1015
2023-08-21,Morocco,1204
2023-08-21,Paraguay,953
2023-08-21,Peru,828
2023-08-21,Spain,2567
2023-08-21,Uruguay,2326
2023-08-21,"Venezuela, Bolivarian Republic of",1517
2023-08-22,Argentina,14321
2023-08-22,Chile,2859
2023-08-22,Colombia,3160
2023-08-22,Mexico,1111
2023-08-22,Morocco,1190
2023-08-22,Paraguay,1108
2023-08-22,Peru,845
2023-08-22,Spain,2504
2023-08-22,Uruguay,2269
2023-08-22,"Venezuela, Bolivarian Republic of",1519
2023-08-23,Argentina,14132
2023-08-23,Chile,2777
2023-08-23,Colombia,3198
2023-08-23,Mexico,1096
2023-08-23,Morocco,1117
2023-08-23,Paraguay,1049
2023-08-23,Peru,845
2023-08-23,Spain,2711
2023-08-23,Uruguay,2419
2023-08-23,"Venezuela, Bolivarian Republic of",1473
2023-08-24,Argentina,14207
2023-08-24,Chile,2882
2023-08-24,Colombia,3223
2023-08-24,Mexico,1095
2023-08-24,Morocco,1566
2023-08-24,Paraguay,1026
2023-08-24,Peru,855
2023-08-24,Spain,2607
2023-08-24,Uruguay,2253
2023-08-24,"Venezuela, Bolivarian Republic of",1409
2023-08-25,Argentina,13167
2023-08-25,Chile,2733
2023-08-25,Colombia,3021
2023-08-25,Mexico,1058
2023-08-25,Morocco,1286
2023-08-25,Paraguay,967
2023-08-25,Peru,804
2023-08-25,Spain,2482
2023-08-25,Uruguay,874
2023-08-25,"Venezuela, Bolivarian Republic of",1427
2023-08-26,Argentina,7395
2023-08-26,Chile,1438
2023-08-26,Colombia,2227
2023-08-26,Mexico,905
2023-08-26,Morocco,2237
2023-08-26,Paraguay,678
2023-08-26,Peru,716
2023-08-26,Spain,2008
2023-08-26,Uruguay,952
2023-08-26,"Venezuela, Bolivarian Republic of",1021
2023-08-27,Argentina,6017
2023-08-27,Chile,1231
2023-08-27,Colombia,1723
2023-08-27,Mexico,786
2023-08-27,Morocco,3095
2023-08-27,Paraguay,422
2023-08-27,Peru,682
2023-08-27,Spain,1810
2023-08-27,Uruguay,870
2023-08-27,"Venezuela, Bolivarian Republic of",970
2023-08-28,Argentina,13027
2023-08-28,Chile,2800
2023-08-28,Colombia,3151
2023-08-28,Mexico,1133
2023-08-28,Morocco,3857
2023-08-28,Paraguay,1015
2023-08-28,Peru,895
2023-08-28,Spain,2669
2023-08-28,Uruguay,2186
2023-08-28,"Venezuela, Bolivarian Republic of",1332
2023-08-29,Argentina,13275
2023-08-29,Chile,3009
