Country,date,new_subscribers,dau
Angola,2023-08-21,1.0,4.0
Angola,2023-09-11,1.0,5.0
Argentina,2023-08-18,26.0,14694.0
Argentina,2023-08-19,13.0,7961.0
Argentina,2023-08-20,12.0,6394.0
Argentina,2023-08-21,20.0,6774.0
Argentina,2023-08-22,44.0,14321.0
Argentina,2023-08-23,33.0,14132.0
Argentina,2023-08-24,36.0,14207.0
Argentina,2023-08-25,23.0,13167.0
Argentina,2023-08-26,27.0,7395.0
Argentina,2023-08-27,16.0,6017.0
Argentina,2023-08-28,32.0,13027.0
Argentina,2023-08-29,47.0,13275.0
Argentina,2023-08-30,57.0,13645.0
Argentina,2023-08-31,49.0,13329.0
Argentina,2023-09-01,25.0,12625.0
Argentina,2023-09-02,22.0,7287.0
Argentina,2023-09-03,16.0,5763.0
Argentina,2023-09-04,43.0,12481.0
Argentina,2023-09-05,40.0,12733.0
Argentina,2023-09-06,52.0,12764.0
Argentina,2023-09-07,52.0,12373.0
Argentina,2023-09-08,28.0,11952.0
Argentina,2023-09-09,28.0,6776.0
Argentina,2023-09-10,17.0,5416.0
Argentina,2023-09-11,36.0,10133.0
Argentina,2023-09-12,37.0,11847.0
Argentina,2023-09-13,24.0,12365.0
Argentina,2023-09-14,23.0,12265.0
Argentina,2023-09-15,23.0,11466.0
Argentina,2023-09-16,8.0,6520.0
Argentina,2023-09-17,10.0,5301.0
Argentina,2023-09-18,22.0,11753.0
Australia,2023-08-29,1.0,22.0
Belgium,2023-09-08,1.0,5.0
Bermuda,2023-08-28,1.0,0.0
"Bolivia, Plurinational State of",2023-08-24,1.0,196.0
"Bolivia, Plurinational State of",2023-08-25,1.0,176.0
"Bolivia, Plurinational State of",2023-08-26,1.0,163.0
"Bolivia, Plurinational State of",2023-08-30,1.0,241.0
"Bolivia, Plurinational State of",2023-08-31,1.0,221.0
"Bolivia, Plurinational State of",2023-09-01,1.0,222.0
"Bolivia, Plurinational State of",2023-09-13,1.0,195.0
"Bolivia, Plurinational State of",2023-09-15,1.0,154.0
"Bolivia, Plurinational State of",2023-09-17,1.0,118.0
"Bolivia, Plurinational State of",2023-09-18,1.0,182.0
Brazil,2023-08-18,3.0,802.0
Brazil,2023-08-19,2.0,399.0
Brazil,2023-08-20,2.0,378.0
Brazil,2023-08-22,2.0,717.0
Brazil,2023-08-23,5.0,839.0
Brazil,2023-08-24,3.0,734.0
Brazil,2023-08-25,4.0,693.0
Brazil,2023-08-26,3.0,414.0
Brazil,2023-08-27,3.0,358.0
Brazil,2023-08-29,1.0,727.0
Brazil,2023-08-30,4.0,766.0
Brazil,2023-08-31,2.0,779.0
Brazil,2023-09-01,3.0,709.0
Brazil,2023-09-02,3.0,408.0
Brazil,2023-09-04,3.0,720.0
Brazil,2023-09-05,2.0,715.0
Brazil,2023-09-06,3.0,724.0
Brazil,2023-09-08,1.0,516.0
Brazil,2023-09-09,1.0,350.0
Brazil,2023-09-10,1.0,339.0
Brazil,2023-09-11,3.0,702.0
Brazil,2023-09-12,3.0,721.0
Brazil,2023-09-13,1.0,722.0
Brazil,2023-09-14,4.0,778.0
Brazil,2023-09-15,2.0,627.0
Brazil,2023-09-16,6.0,377.0
Brazil,2023-09-17,1.0,338.0
Brazil,2023-09-18,4.0,648.0
Cameroon,2023-09-05,1.0,9.0
Canada,2023-09-01,1.0,20.0
Canada,2023-09-14,1.0,25.0
Chile,2023-08-18,2.0,2761.0
Chile,2023-08-19,2.0,1357.0
Chile,2023-08-20,3.0,1134.0
Chile,2023-08-21,5.0,2816.0
Chile,2023-08-22,3.0,2859.0
Chile,2023-08-23,7.0,2777.0
Chile,2023-08-24,11.0,2882.0
Chile,2023-08-25,5.0,2733.0
Chile,2023-08-26,3.0,1438.0
Chile,2023-08-27,2.0,1231.0
Chile,2023-08-28,5.0,2800.0
Chile,2023-08-29,10.0,3009.0
Chile,2023-08-30,10.0,3007.0
Chile,2023-08-31,8.0,2966.0
Chile,2023-09-01,10.0,2786.0
Chile,2023-09-02,6.0,1349.0
Chile,2023-09-03,4.0,1189.0
Chile,2023-09-04,8.0,2674.0
Chile,2023-09-05,9.0,2883.0
Chile,2023-09-06,8.0,2876.0
Chile,2023-09-07,12.0,2833.0
Chile,2023-09-08,7.0,2544.0
Chile,2023-09-09,7.0,1343.0
Chile,2023-09-10,7.0,1117.0
Chile,2023-09-11,6.0,2290.0
Chile,2023-09-12,11.0,2678.0
Chile,2023-09-13,15.0,2744.0
Chile,2023-09-14,19.0,2553.0
Chile,2023-09-15,11.0,1878.0
Chile,2023-09-16,3.0,937.0
Chile,2023-09-17,3.0,700.0
Chile,2023-09-18,3.0,625.0
China,2023-08-22,1.0,8.0
Colombia,2023-08-18,1.0,3078.0
Colombia,2023-08-19,2.0,1886.0
Colombia,2023-08-21,1.0,1424.0
Colombia,2023-08-22,1.0,3160.0
Colombia,2023-08-23,4.0,3198.0
Colombia,2023-08-24,4.0,3223.0
Colombia,2023-08-25,4.0,3021.0
Colombia,2023-08-26,1.0,2227.0
Colombia,2023-08-27,2.0,1723.0
Colombia,2023-08-28,7.0,3151.0
Colombia,2023-08-29,4.0,3423.0
Colombia,2023-08-30,3.0,3280.0
Colombia,2023-09-01,3.0,2975.0
Colombia,2023-09-02,1.0,1931.0
Colombia,2023-09-03,1.0,1466.0
Colombia,2023-09-04,2.0,3079.0
Colombia,2023-09-05,1.0,3110.0
Colombia,2023-09-06,4.0,3216.0
Colombia,2023-09-07,2.0,3002.0
Colombia,2023-09-08,6.0,2798.0
Colombia,2023-09-09,2.0,1796.0
Colombia,2023-09-10,1.0,1418.0
Colombia,2023-09-11,2.0,2823.0
Colombia,2023-09-13,8.0,3083.0
Colombia,2023-09-14,9.0,2929.0
Colombia,2023-09-15,3.0,2410.0
Colombia,2023-09-16,2.0,1528.0
Colombia,2023-09-17,2.0,1164.0
Colombia,2023-09-18,3.0,2295.0
Costa Rica,2023-08-21,1.0,257.0
Costa Rica,2023-08-22,1.0,283.0
Costa Rica,2023-08-27,1.0,202.0
Costa Rica,2023-08-29,1.0,355.0
Costa Rica,2023-09-03,1.0,172.0
Costa Rica,2023-09-05,1.0,285.0
Costa Rica,2023-09-08,1.0,305.0
Costa Rica,2023-09-11,1.0,307.0
Costa Rica,2023-09-12,1.0,334.0
Costa Rica,2023-09-13,2.0,304.0
Costa Rica,2023-09-14,1.0,322.0
Costa Rica,2023-09-15,2.0,149.0
Costa Rica,2023-09-17,1.0,129.0
Cuba,2023-09-04,1.0,17.0
Curaçao,2023-09-18,1.0,1.0
Denmark,2023-09-06,1.0,3.0
Dominican Republic,2023-08-22,1.0,132.0
Dominican Republic,2023-08-28,1.0,169.0
Dominican Republic,2023-09-01,1.0,185.0
Dominican Republic,2023-09-14,1.0,185.0
Dominican Republic,2023-09-17,1.0,127.0
Dominican Republic,2023-09-18,1.0,165.0
Ecuador,2023-08-30,1.0,620.0
Ecuador,2023-08-31,1.0,595.0
Ecuador,2023-09-05,1.0,535.0
Ecuador,2023-09-06,1.0,560.0
Ecuador,2023-09-11,2.0,483.0
Ecuador,2023-09-12,2.0,497.0
Ecuador,2023-09-15,2.0,468.0
El Salvador,2023-08-23,1.0,101.0
El Salvador,2023-08-25,1.0,98.0
El Salvador,2023-09-07,1.0,114.0
El Salvador,2023-09-17,1.0,51.0
Error: ,2023-08-19,1.0,183.0
Error: ,2023-08-22,1.0,295.0
Error: ,2023-08-24,1.0,280.0
Error: ,2023-09-03,1.0,167.0
Error: ,2023-09-04,3.0,301.0
Error: ,2023-09-05,1.0,318.0
Error: ,2023-09-07,1.0,333.0
Error: ,2023-09-10,1.0,186.0
Error: ,2023-09-14,1.0,331.0
France,2023-08-27,1.0,25.0
France,2023-09-07,1.0,34.0
France,2023-09-17,1.0,18.0
Gabon,2023-09-01,1.0,3.0
Germany,2023-09-13,1.0,32.0
Guatemala,2023-08-28,1.0,113.0
Guatemala,2023-08-30,1.0,101.0
Guatemala,2023-09-01,1.0,116.0
Honduras,2023-08-29,1.0,108.0
Honduras,2023-09-18,1.0,101.0
Indonesia,2023-08-20,1.0,8.0
Indonesia,2023-09-07,2.0,27.0
Israel,2023-08-28,2.0,64.0
Israel,2023-08-31,1.0,71.0
Israel,2023-09-04,1.0,75.0
Israel,2023-09-05,2.0,65.0
Israel,2023-09-08,1.0,35.0
