date,country,cost,expected_average_income,cost_type,labels
2023-09-01,Afghanistan,0.12891334999999998,0.1309825,income,09-01
2023-09-01,Albania,0.040315866666666665,,,09-01
2023-09-01,Algeria,0.11517913333333334,,,09-01
2023-09-01,Andorra,0.11698935,0.1029333333333333,income,09-01
2023-09-01,Angola,0.33403479478458054,0.1029333333333333,income,09-01
2023-09-01,Anguilla,0.05424013333333333,,,09-01
2023-09-01,Argentina,542.7131389065577,219.66885958333336,income,09-01
2023-09-01,Australia,0.90076615,0.3087999999999999,income,09-01
2023-09-01,Austria,0.09272356666666667,0.1029333333333333,income,09-01
2023-09-01,Azerbaijan,0.034012,,,09-01
2023-09-01,Bangladesh,0.08161913333333333,,,09-01
2023-09-01,Barbados,0.06226005,,,09-01
2023-09-01,Belgium,0.2898617166666667,0.0,income,09-01
2023-09-01,Belize,0.044069566666666664,,,09-01
2023-09-01,Benin,0.6676866166666666,,,09-01
2023-09-01,Bermuda,0.05061135,,,09-01
2023-09-01,Bolivia,12.921801997959182,1.1322666666666668,income,09-01
2023-09-01,Brazil,31.01471631323696,8.3376,income,09-01
2023-09-01,Bulgaria,0.08195048333333334,,,09-01
2023-09-01,Burkina Faso,0.6947581216553288,,,09-01
2023-09-01,Burundi,0.03993756666666667,,,09-01
2023-09-01,Cameroon,0.7825309666666667,0.0,income,09-01
2023-09-01,Canada,0.7999741836734694,0.8234666666666667,income,09-01
2023-09-01,Chad,0.04041335,,,09-01
2023-09-01,Chile,161.73780547730925,30.14068083333333,income,09-01
2023-09-01,China,0.1822124833333333,0.1029333333333333,income,09-01
2023-09-01,Colombia,47.55304678621032,10.56469125,income,09-01
2023-09-01,Congo,1.8421496166666667,0.0,income,09-01
2023-09-01,Costa Rica,15.881826797052153,1.3381333333333332,income,09-01
2023-09-01,Croatia,0.07370113333333334,,,09-01
2023-09-01,Cuba,0.5380924943310658,0.06549125,income,09-01
2023-09-01,Curaçao,0.09738735,0.0,income,09-01
2023-09-01,Czechia,0.025,,,09-01
2023-09-01,Côte d'Ivoire,0.9359945166666667,0.1684245833333333,income,09-01
2023-09-01,Denmark,0.10454728333333334,0.0,income,09-01
2023-09-01,Dominican Republic,9.097477074376418,0.9264,income,09-01
2023-09-01,Ecuador,28.063881362840135,0.99189125,income,09-01
2023-09-01,Egypt,1.8805476897959181,,,09-01
2023-09-01,El Salvador,5.290547665759637,0.8234666666666667,income,09-01
2023-09-01,Equatorial Guinea,0.07736,,,09-01
2023-09-01,Error: ,3.663334777664399,3.050428333333333,income,09-01
2023-09-01,Error: 'NoneType' object has no attribute 'name',0.04190145,,,09-01
2023-09-01,Error: (0) Could not interpret numbers after plus-sign.,0.4271844717687075,0.6175999999999999,income,09-01
2023-09-01,Falkland Islands (Malvinas),0.0423,,,09-01
2023-09-01,Finland,0.06439578333333333,,,09-01
2023-09-01,France,2.6734421333333334,0.2713579166666667,income,09-01
2023-09-01,French Guiana,0.11125513333333334,,,09-01
2023-09-01,Gabon,0.17007666575963717,,,09-01
2023-09-01,Germany,3.670703165306122,0.2058666666666666,income,09-01
2023-09-01,Greece,0.10513518333333334,,,09-01
2023-09-01,Guatemala,6.2408802098639455,0.3088,income,09-01
2023-09-01,Guinea,0.095898,,,09-01
2023-09-01,Haiti,0.23145956666666667,,,09-01
2023-09-01,Honduras,5.508903046556122,0.2058666666666666,income,09-01
2023-09-01,Hong Kong,0.02446535,,,09-01
2023-09-01,Hungary,0.16435863174603174,,,09-01
2023-09-01,India,1.1033943558106576,,,09-01
2023-09-01,Indonesia,1.3719660098922903,0.2058666666666666,income,09-01
2023-09-01,Ireland,0.09594453333333333,,,09-01
2023-09-01,Israel,1.2124533,0.7860245833333332,income,09-01
2023-09-01,Italy,4.177434716666667,0.7860245833333332,income,09-01
2023-09-01,Jamaica,0.044189349999999995,,,09-01
2023-09-01,Japan,0.10849927448979592,,,09-01
2023-09-01,Kazakhstan,0.12536084353741495,,,09-01
2023-09-01,Korea,0.09798269999999999,,,09-01
2023-09-01,Kyrgyzstan,0.034828,,,09-01
2023-09-01,Lebanon,0.05195698333333333,,,09-01
2023-09-01,Libya,0.097884,,,09-01
2023-09-01,Malaysia,0.7698050799319728,0.3368491666666667,income,09-01
2023-09-01,Mali,0.03688578333333333,,,09-01
2023-09-01,Malta,0.09783865,0.1029333333333333,income,09-01
2023-09-01,Mexico,26.204496991142292,9.217165,income,09-01
2023-09-01,Moldova,0.04941805,,,09-01
2023-09-01,Montenegro,0.03232205,,,09-01
2023-09-01,Morocco,272.58002509511056,0.0,income,09-01
2023-09-01,Mozambique,0.1262038141723356,0.0,income,09-01
2023-09-01,Myanmar,0.10371431371882087,0.1029333333333333,income,09-01
2023-09-01,Netherlands,1.2888802499999998,0.0,income,09-01
2023-09-01,New Zealand,0.41568875000000005,0.2058666666666666,income,09-01
2023-09-01,Nicaragua,3.392137053812358,0.0,income,09-01
2023-09-01,Niger,0.03202778333333333,0.0,income,09-01
2023-09-01,Nigeria,0.11614756666666666,,,09-01
2023-09-01,Norfolk Island,0.03308875,,,09-01
2023-09-01,Northern Mariana Islands,0.03852378333333333,,,09-01
2023-09-01,Norway,0.13067896666666667,,,09-01
2023-09-01,Pakistan,0.29213305419501134,,,09-01
2023-09-01,Palestine,0.04956013333333334,,,09-01
2023-09-01,Panama,12.211548134693878,1.880849166666667,income,09-01
2023-09-01,Paraguay,50.46943523961168,3.939515833333333,income,09-01
2023-09-01,Peru,17.92925263852041,2.4329579166666666,income,09-01
2023-09-01,Philippines,0.6085709408163265,0.1029333333333333,income,09-01
2023-09-01,Poland,0.058007133333333336,0.1029333333333333,income,09-01
2023-09-01,Portugal,1.0125128333333333,0.1029333333333333,income,09-01
2023-09-01,Puerto Rico,0.7081268333333333,0.0,income,09-01
2023-09-01,Romania,0.5602873302721089,0.0,income,09-01
2023-09-01,Russian Federation,0.589778603628118,0.1684245833333333,income,09-01
2023-09-01,Saint Pierre and Miquelon,0.04510578333333333,,,09-01
2023-09-01,Senegal,0.0363,,,09-01
2023-09-01,Serbia,0.0341707,,,09-01
2023-09-01,Seychelles,0.0427227,,,09-01
2023-09-01,Singapore,0.24767210022675737,0.1029333333333333,income,09-01
2023-09-01,Sint Maarten (Dutch part),0.041174916666666665,,,09-01
2023-09-01,Solomon Islands,0.031,,,09-01
2023-09-01,South Africa,0.64217515,0.3088,income,09-01
2023-09-01,South Sudan,0.05215513333333333,,,09-01
2023-09-01,Spain,67.81203019297052,7.008730000000001,income,09-01
2023-09-01,Sri Lanka,0.07043178333333333,,,09-01
2023-09-01,Sudan,0.2123267,,,09-01
2023-09-01,Suriname,0.3583718833333333,,,09-01
2023-09-01,Sweden,0.20107936065759638,0.1684245833333333,income,09-01
2023-09-01,Switzerland,0.35988735,0.4772245833333333,income,09-01
2023-09-01,Thailand,0.2208000393424036,,,09-01
2023-09-01,Togo,1.039305206802721,,,09-01
2023-09-01,Trinidad and Tobago,0.04677978333333333,,,09-01
2023-09-01,Tunisia,0.03927,,,09-01
2023-09-01,Turkey,0.14167686666666668,,,09-01
2023-09-01,United Arab Emirates,0.2096596666666667,0.1029333333333333,income,09-01
2023-09-01,United Kingdom,1.0188338666666668,1.1322666666666668,income,09-01
2023-09-01,United States,13.253628878571428,6.756157916666668,income,09-01
2023-09-01,Uruguay,109.40943438209285,11.331930000000002,income,09-01
2023-09-01,Venezuela,67.18307202025227,4.38869125,income,09-01
2023-09-01,Viet Nam,0.26558228299319725,,,09-01
2023-09-01,Wallis and Futuna,0.03399978333333333,,,09-01
2023-09-01,Yemen,0.20679331666666667,,,09-01
2023-09-02,Afghanistan,0.23029358948412698,0.1309825,income,09-02
2023-09-02,Algeria,0.23090805,,,09-02
2023-09-02,American Samoa,0.04940181405895691,,,09-02
2023-09-02,Angola,0.16210689583333332,0.1029333333333333,income,09-02
2023-09-02,Argentina,314.66947587487243,220.91319333333337,income,09-02
2023-09-02,Australia,0.70797245,0.3087999999999999,income,09-02
2023-09-02,Austria,0.09895751235827664,0.1029333333333333,income,09-02
2023-09-02,Azerbaijan,0.033306,,,09-02
2023-09-02,Bahrain,0.0294087,,,09-02
2023-09-02,Bangladesh,0.06528313333333333,,,09-02
2023-09-02,Barbados,0.0423,,,09-02
2023-09-02,Belgium,0.17512646666666667,0.0,income,09-02
2023-09-02,Belize,0.10218707217970521,,,09-02
2023-09-02,Benin,0.7259591166666667,,,09-02
2023-09-02,Bolivia,9.143399330172903,1.1322666666666668,income,09-02
2023-09-02,Bosnia and Herzegovina,0.03305735,,,09-02
2023-09-02,Brazil,18.516757809367913,8.440533333333333,income,09-02
2023-09-02,Bulgaria,0.04607735,,,09-02
2023-09-02,Burkina Faso,0.7362604166666666,,,09-02
2023-09-02,Cameroon,0.6498863166666666,0.0,income,09-02
2023-09-02,Canada,0.5800821333333334,0.8234666666666667,income,09-02
2023-09-02,Chad,0.038874,,,09-02
2023-09-02,Chile,79.45168551210901,30.75828083333333,income,09-02
2023-09-02,China,0.10673875,0.1029333333333333,income,09-02
2023-09-02,Colombia,27.61355632057823,10.667624583333332,income,09-02
2023-09-02,Congo,2.2780092484126984,0.0,income,09-02
2023-09-02,Costa Rica,11.711653276530612,1.3381333333333332,income,09-02
2023-09-02,Croatia,0.0345747,,,09-02
2023-09-02,Cuba,0.6115498516581632,0.06549125,income,09-02
2023-09-02,Côte d'Ivoire,0.6635925833333334,0.1684245833333333,income,09-02
2023-09-02,Denmark,0.1016907,0.0,income,09-02
2023-09-02,Djibouti,0.132372,,,09-02
2023-09-02,Dominican Republic,7.488794932199546,0.9264,income,09-02
2023-09-02,Ecuador,21.303737273653624,0.99189125,income,09-02
2023-09-02,Egypt,1.2633666333333333,,,09-02
2023-09-02,El Salvador,4.525074969359411,0.8234666666666667,income,09-02
2023-09-02,Equatorial Guinea,0.07426978333333333,,,09-02
2023-09-02,Error: ,2.802222220294785,3.050428333333333,income,09-02
2023-09-02,Error: 'NoneType' object has no attribute 'name',0.018608966666666664,,,09-02
2023-09-02,Error: (0) Could not interpret numbers after plus-sign.,0.11884127732426304,0.6175999999999999,income,09-02
2023-09-02,Falkland Islands (Malvinas),0.0423,,,09-02
2023-09-02,France,1.8466085166666666,0.2713579166666667,income,09-02
2023-09-02,French Guiana,0.0423,,,09-02
2023-09-02,Gabon,0.18092196530612242,,,09-02
2023-09-02,Germany,2.9552025207482995,0.2058666666666666,income,09-02
2023-09-02,Ghana,0.07872956666666667,,,09-02
2023-09-02,Greece,0.15653877517006803,,,09-02
2023-09-02,Guatemala,4.036561902706916,0.3088,income,09-02
2023-09-02,Guyana,0.046079999999999996,,,09-02
2023-09-02,Haiti,0.55473135,,,09-02
2023-09-02,Honduras,5.0745779824263035,0.2058666666666666,income,09-02
2023-09-02,Hong Kong,0.025009566666666667,,,09-02
2023-09-02,Hungary,0.08651848333333334,,,09-02
2023-09-02,India,0.9324369816109978,,,09-02
2023-09-02,Indonesia,1.6762360166666663,0.2058666666666666,income,09-02
2023-09-02,Iran,0.17699999791666665,0.06549125,income,09-02
2023-09-02,Ireland,0.12410966666666666,,,09-02
2023-09-02,Israel,0.6203432166666667,0.7860245833333332,income,09-02
2023-09-02,Italy,2.811574116666667,0.7860245833333332,income,09-02
2023-09-02,Japan,0.02643135,,,09-02
2023-09-02,Kazakhstan,0.13559972290249434,,,09-02
2023-09-02,Korea,0.1069194,,,09-02
2023-09-02,Kuwait,0.024881566666666667,,,09-02
2023-09-02,Kyrgyzstan,0.08390178333333334,,,09-02
2023-09-02,Lebanon,0.026905783333333336,,,09-02
2023-09-02,Malaysia,0.45967395306122444,0.3368491666666667,income,09-02
2023-09-02,Mali,0.22686778333333332,,,09-02
2023-09-02,Malta,0.10192318333333333,0.1029333333333333,income,09-02
2023-09-02,Martinique,0.04263935,,,09-02
2023-09-02,Mauritania,0.07315978333333333,,,09-02
2023-09-02,Mexico,17.55878227280329,9.423031666666668,income,09-02
2023-09-02,Micronesia,0.03265135,,,09-02
2023-09-02,Monaco,0.0539954,,,09-02
2023-09-02,Montenegro,0.033438,,,09-02
2023-09-02,Morocco,241.80850392154196,0.0,income,09-02
2023-09-02,Mozambique,0.03802178333333333,0.0,income,09-02
2023-09-02,Myanmar,0.0656447,0.1029333333333333,income,09-02
2023-09-02,Netherlands,1.1126863666666666,0.0,income,09-02
2023-09-02,New Zealand,0.2475648,0.2058666666666666,income,09-02
2023-09-02,Nicaragua,2.825599983333333,0.0,income,09-02
2023-09-02,Niger,0.06372956666666667,0.0,income,09-02
2023-09-02,Nigeria,0.17174735,,,09-02
2023-09-02,Niue,0.05002437494331066,,,09-02
2023-09-02,Norfolk Island,0.03248335,,,09-02
2023-09-02,Norway,0.09927026666666666,,,09-02
2023-09-02,Pakistan,0.1948021,,,09-02
2023-09-02,Panama,8.959180416666666,1.880849166666667,income,09-02
2023-09-02,Papua New Guinea,0.02558535,,,09-02
2023-09-02,Paraguay,30.280156222789117,3.939515833333333,income,09-02
2023-09-02,Peru,11.96928629343821,2.53589125,income,09-02
2023-09-02,Philippines,0.3808129,0.1029333333333333,income,09-02
2023-09-02,Poland,0.08465491666666668,0.1029333333333333,income,09-02
2023-09-02,Portugal,0.65778245,0.1029333333333333,income,09-02
2023-09-02,Puerto Rico,0.41550771666666664,0.0,income,09-02
2023-09-02,Qatar,0.02296135,0.0,income,09-02
2023-09-02,Romania,0.07384605,0.0,income,09-02
2023-09-02,Russian Federation,0.37202498333333334,0.1684245833333333,income,09-02
2023-09-02,Saint Pierre and Miquelon,0.09265783333333333,,,09-02
2023-09-02,Saudi Arabia,0.05989805000000001,0.1029333333333333,income,09-02
2023-09-02,Senegal,0.07873356666666667,,,09-02
2023-09-02,Serbia,0.035009783333333336,,,09-02
2023-09-02,Seychelles,0.03944135,,,09-02
2023-09-02,Sierra Leone,0.0363,,,09-02
2023-09-02,Singapore,0.1501721,0.1029333333333333,income,09-02
2023-09-02,Sint Maarten (Dutch part),0.03737335,,,09-02
2023-09-02,South Africa,0.14574631666666668,0.3088,income,09-02
2023-09-02,South Sudan,0.04192533333333333,,,09-02
2023-09-02,Spain,47.043534217148526,7.214596666666668,income,09-02
2023-09-02,Sri Lanka,0.03305335,,,09-02
2023-09-02,Sudan,0.12936599999999998,,,09-02
2023-09-02,Sweden,0.0433987,0.1684245833333333,income,09-02
2023-09-02,Switzerland,0.10576031666666667,0.4772245833333333,income,09-02
2023-09-02,Taiwan,0.07477135,,,09-02
2023-09-02,Thailand,0.11091913333333334,,,09-02
2023-09-02,Togo,0.9558499732426303,,,09-02
2023-09-02,Tunisia,0.09851178333333332,,,09-02
2023-09-02,Turkey,0.058317566666666674,,,09-02
2023-09-02,United Arab Emirates,0.034499133333333334,0.1029333333333333,income,09-02
2023-09-02,United Kingdom,0.6609962166666666,1.1322666666666668,income,09-02
2023-09-02,United States,6.141647023922903,6.756157916666668,income,09-02
2023-09-02,Uruguay,58.009918454421765,11.64073,income,09-02
2023-09-02,Venezuela,56.72843539710884,4.38869125,income,09-02
2023-09-02,Viet Nam,0.0282944,,,09-02
2023-09-02,Yemen,0.217466,,,09-02
2023-09-02,Zimbabwe,0.04175335,,,09-02
2023-09-03,Afghanistan,0.031,0.1309825,income,09-03
2023-09-03,Algeria,0.052014,,,09-03
2023-09-03,Andorra,0.03708135,0.1029333333333333,income,09-03
2023-09-03,Angola,0.0373787,0.1029333333333333,income,09-03
2023-09-03,Argentina,252.14839862190212,221.83007083333337,income,09-03
2023-09-03,Aruba,0.046219783333333334,,,09-03
2023-09-03,Australia,0.81937435,0.3087999999999999,income,09-03
2023-09-03,Austria,0.03147535,0.1029333333333333,income,09-03
2023-09-03,Belgium,0.06876026666666667,0.0,income,09-03
2023-09-03,Belize,0.04681713333333333,,,09-03
2023-09-03,Benin,0.27579783333333335,,,09-03
2023-09-03,Bolivia,9.279367803869047,1.1322666666666668,income,09-03
2023-09-03,Brazil,14.880567682142857,8.440533333333333,income,09-03
2023-09-03,British Indian Ocean Territory,0.046628050000000004,,,09-03
2023-09-03,Bulgaria,0.03939735,,,09-03
2023-09-03,Burkina Faso,0.603363447845805,,,09-03
2023-09-03,Cameroon,0.35937805,0.0,income,09-03
2023-09-03,Canada,0.7160817295918368,0.8234666666666667,income,09-03
2023-09-03,Chile,72.09416984183675,31.170014166666668,income,09-03
2023-09-03,China,0.048365566666666665,0.1029333333333333,income,09-03
2023-09-03,Colombia,23.756093659821428,10.770557916666665,income,09-03
2023-09-03,Congo,1.3425990166666666,0.0,income,09-03
2023-09-03,Costa Rica,8.880819255668934,1.4410666666666665,income,09-03
2023-09-03,Croatia,0.0385907,,,09-03
2023-09-03,Cuba,0.7005062770833334,0.06549125,income,09-03
2023-09-03,Curaçao,0.0423,0.0,income,09-03
2023-09-03,Czechia,0.08118513333333334,,,09-03
2023-09-03,Côte d'Ivoire,0.42532031666666664,0.1684245833333333,income,09-03
2023-09-03,Djibouti,0.079542,,,09-03
2023-09-03,Dominican Republic,8.230541683333334,0.9264,income,09-03
2023-09-03,Ecuador,17.321903951374715,0.99189125,income,09-03
2023-09-03,Egypt,1.4203573833333334,,,09-03
2023-09-03,El Salvador,3.4741962833333333,0.8234666666666667,income,09-03
2023-09-03,Error: ,2.923139884835601,3.153361666666667,income,09-03
2023-09-03,Error: 'NoneType' object has no attribute 'name',0.12808955,,,09-03
2023-09-03,Error: (0) Could not interpret numbers after plus-sign.,0.1696412470521542,0.6175999999999999,income,09-03
2023-09-03,Estonia,0.032551783333333334,,,09-03
2023-09-03,Falkland Islands (Malvinas),0.0423,,,09-03
2023-09-03,Finland,0.0714807,,,09-03
2023-09-03,France,1.7390652166666667,0.2713579166666667,income,09-03
2023-09-03,Gabon,0.1526804283446712,,,09-03
2023-09-03,Germany,2.116269216666667,0.2058666666666666,income,09-03
2023-09-03,Greece,0.08514818333333334,,,09-03
2023-09-03,Greenland,0.0423,,,09-03
2023-09-03,Guatemala,3.839485701360544,0.3088,income,09-03
2023-09-03,Guinea,0.0726,,,09-03
2023-09-03,Guyana,0.12206005,,,09-03
2023-09-03,Haiti,0.5121920861678004,,,09-03
2023-09-03,Honduras,3.783601812542517,0.2058666666666666,income,09-03
2023-09-03,Hong Kong,0.05618135,,,09-03
2023-09-03,Hungary,0.06855270000000001,,,09-03
2023-09-03,India,0.6294164413265306,,,09-03
2023-09-03,Indonesia,0.5435529166666666,0.2058666666666666,income,09-03
2023-09-03,Iran,0.11412243083900227,0.06549125,income,09-03
2023-09-03,Ireland,0.06343691666666666,,,09-03
2023-09-03,Israel,1.6591183333333333,0.7860245833333332,income,09-03
2023-09-03,Italy,2.248414448185941,0.7860245833333332,income,09-03
2023-09-03,Japan,0.024543566666666666,,,09-03
2023-09-03,Korea,0.16361496666666667,,,09-03
2023-09-03,Kuwait,0.038923566666666666,,,09-03
2023-09-03,Libya,0.037404,,,09-03
