date,country,dau
2023-07-26,Afghanistan,4
2023-07-26,Algeria,2
2023-07-26,Andorra,1
2023-07-26,Angola,1
2023-07-26,Argentina,14192
2023-07-26,Australia,16
2023-07-26,Austria,3
2023-07-26,Azerbaijan,1
2023-07-26,Bahrain,1
2023-07-26,Belgium,3
2023-07-26,Benin,17
2023-07-26,Bolivia,155
2023-07-26,Bonaire,1
2023-07-26,Bosnia and Herzegovina,1
2023-07-26,Brazil,488
2023-07-26,Burkina Faso,14
2023-07-26,Burundi,1
2023-07-26,Cameroon,15
2023-07-26,Canada,22
2023-07-26,Cayman Islands,1
2023-07-26,Chad,2
2023-07-26,Chile,2514
2023-07-26,China,4
2023-07-26,Colombia,2787
2023-07-26,Congo,39
2023-07-26,Cook Islands,1
2023-07-26,Costa Rica,271
2023-07-26,Croatia,2
2023-07-26,Cuba,12
2023-07-26,Cyprus,1
2023-07-26,Czechia,1
2023-07-26,Côte d'Ivoire,29
2023-07-26,Denmark,6
2023-07-26,Dominican Republic,131
2023-07-26,Ecuador,545
2023-07-26,Egypt,18
2023-07-26,El Salvador,79
2023-07-26,Equatorial Guinea,1
2023-07-26,Error: ,222
2023-07-26,Error: 'NoneType' object has no attribute 'name',3
2023-07-26,Error: (0) Could not interpret numbers after plus-sign.,21
2023-07-26,Eswatini,1
2023-07-26,Falkland Islands (Malvinas),1
2023-07-26,Faroe Islands,1
2023-07-26,Fiji,1
2023-07-26,Finland,1
2023-07-26,France,28
2023-07-26,Gabon,5
2023-07-26,Germany,33
2023-07-26,Greece,2
2023-07-26,Guadeloupe,1
2023-07-26,Guam,1
2023-07-26,Guatemala,93
2023-07-26,Guyana,3
2023-07-26,Haiti,5
2023-07-26,Honduras,100
2023-07-26,Hungary,5
2023-07-26,India,2
2023-07-26,Indonesia,25
2023-07-26,Iran,3
2023-07-26,Ireland,4
2023-07-26,Israel,53
2023-07-26,Italy,49
2023-07-26,Jamaica,1
2023-07-26,Japan,1
2023-07-26,Jordan,1
2023-07-26,Korea,2
2023-07-26,Kyrgyzstan,1
2023-07-26,Lao People's Democratic Republic,1
2023-07-26,Libya,1
2023-07-26,Lithuania,1
2023-07-26,Luxembourg,1
2023-07-26,Malaysia,15
2023-07-26,Mali,4
2023-07-26,Malta,1
2023-07-26,Mauritania,1
2023-07-26,Mexico,1012
2023-07-26,Montenegro,1
2023-07-26,Morocco,657
2023-07-26,Myanmar,5
2023-07-26,Netherlands,8
2023-07-26,New Zealand,9
2023-07-26,Nicaragua,48
2023-07-26,Nigeria,4
2023-07-26,Norway,4
2023-07-26,Oman,1
2023-07-26,Pakistan,4
2023-07-26,Panama,218
2023-07-26,Papua New Guinea,1
2023-07-26,Paraguay,897
2023-07-26,Peru,678
2023-07-26,Philippines,5
2023-07-26,Poland,1
2023-07-26,Portugal,11
2023-07-26,Puerto Rico,5
2023-07-26,Romania,6
2023-07-26,Russian Federation,15
2023-07-26,Saint Vincent and the Grenadines,1
2023-07-26,Saudi Arabia,2
2023-07-26,Senegal,5
2023-07-26,Singapore,1
2023-07-26,Solomon Islands,1
2023-07-26,Somalia,1
2023-07-26,South Africa,21
2023-07-26,Spain,3174
2023-07-26,Sri Lanka,1
2023-07-26,Sudan,1
2023-07-26,Sweden,3
2023-07-26,Switzerland,6
2023-07-26,Thailand,5
2023-07-26,Togo,26
2023-07-26,Trinidad and Tobago,2
2023-07-26,Tunisia,1
2023-07-26,Turkey,2
2023-07-26,Uganda,1
2023-07-26,Ukraine,1
2023-07-26,United Arab Emirates,4
2023-07-26,United Kingdom,38
2023-07-26,United States,267
2023-07-26,Uruguay,1860
2023-07-26,Venezuela,2104
2023-07-26,Viet Nam,4
2023-07-26,Yemen,9
2023-07-26,Zambia,1
2023-07-27,Afghanistan,3
2023-07-27,Algeria,1
2023-07-27,Andorra,1
2023-07-27,Angola,1
2023-07-27,Argentina,13893
2023-07-27,Aruba,1
2023-07-27,Australia,22
2023-07-27,Austria,6
2023-07-27,Azerbaijan,1
2023-07-27,Barbados,1
2023-07-27,Belgium,2
2023-07-27,Belize,1
2023-07-27,Benin,9
2023-07-27,Bolivia,169
2023-07-27,Bosnia and Herzegovina,1
2023-07-27,Brazil,516
2023-07-27,Bulgaria,1
2023-07-27,Burkina Faso,15
2023-07-27,Cameroon,11
2023-07-27,Canada,14
2023-07-27,Chile,2526
2023-07-27,China,3
2023-07-27,Colombia,2754
2023-07-27,Congo,34
2023-07-27,Costa Rica,259
2023-07-27,Croatia,1
2023-07-27,Cuba,10
2023-07-27,Curaçao,2
2023-07-27,Côte d'Ivoire,16
2023-07-27,Denmark,3
2023-07-27,Djibouti,1
2023-07-27,Dominican Republic,139
2023-07-27,Ecuador,567
2023-07-27,Egypt,22
2023-07-27,El Salvador,96
2023-07-27,Equatorial Guinea,2
2023-07-27,Error: ,235
2023-07-27,Error: 'NoneType' object has no attribute 'name',1
2023-07-27,Error: (0) Could not interpret numbers after plus-sign.,19
2023-07-27,Estonia,1
2023-07-27,Falkland Islands (Malvinas),1
2023-07-27,Finland,2
2023-07-27,France,28
2023-07-27,French Polynesia,1
2023-07-27,Gabon,4
2023-07-27,Germany,42
2023-07-27,Greece,1
2023-07-27,Guam,1
2023-07-27,Guatemala,117
2023-07-27,Guinea,3
2023-07-27,Guyana,5
2023-07-27,Haiti,3
2023-07-27,Honduras,100
2023-07-27,Hungary,4
2023-07-27,India,6
2023-07-27,Indonesia,11
2023-07-27,Iran,2
2023-07-27,Ireland,6
2023-07-27,Israel,48
2023-07-27,Italy,55
2023-07-27,Jamaica,1
2023-07-27,Japan,1
2023-07-27,Jordan,1
2023-07-27,Kazakhstan,6
2023-07-27,Korea,1
2023-07-27,Kyrgyzstan,1
2023-07-27,Lebanon,1
2023-07-27,Madagascar,1
2023-07-27,Malaysia,25
2023-07-27,Mali,2
2023-07-27,Malta,1
2023-07-27,Mexico,987
2023-07-27,Morocco,489
2023-07-27,Myanmar,2
2023-07-27,Netherlands,13
2023-07-27,New Zealand,7
2023-07-27,Nicaragua,62
2023-07-27,Niger,1
2023-07-27,Nigeria,4
2023-07-27,Northern Mariana Islands,1
2023-07-27,Norway,2
2023-07-27,Oman,2
2023-07-27,Pakistan,1
2023-07-27,Palestine,1
2023-07-27,Panama,221
2023-07-27,Papua New Guinea,1
2023-07-27,Paraguay,925
2023-07-27,Peru,700
2023-07-27,Philippines,4
2023-07-27,Poland,2
2023-07-27,Portugal,13
2023-07-27,Puerto Rico,8
2023-07-27,Romania,3
2023-07-27,Russian Federation,16
2023-07-27,Saint Pierre and Miquelon,1
2023-07-27,Saint Vincent and the Grenadines,1
2023-07-27,Saudi Arabia,2
2023-07-27,Senegal,2
2023-07-27,Serbia,1
2023-07-27,Sierra Leone,1
2023-07-27,Singapore,5
2023-07-27,South Africa,12
2023-07-27,South Sudan,2
2023-07-27,Spain,2925
2023-07-27,Sri Lanka,3
2023-07-27,Sudan,2
2023-07-27,Suriname,2
2023-07-27,Sweden,8
2023-07-27,Switzerland,9
2023-07-27,Taiwan,1
2023-07-27,Tanzania,1
2023-07-27,Thailand,1
2023-07-27,Togo,17
2023-07-27,Trinidad and Tobago,3
2023-07-27,Turkey,3
2023-07-27,United Arab Emirates,6
2023-07-27,United Kingdom,39
2023-07-27,United States,217
2023-07-27,Uruguay,1923
2023-07-27,Venezuela,2152
2023-07-27,Viet Nam,2
2023-07-27,Yemen,9
2023-07-27,Zambia,1
2023-07-28,Afghanistan,3
2023-07-28,Andorra,5
2023-07-28,Argentina,13403
2023-07-28,Australia,16
2023-07-28,Austria,5
2023-07-28,Azerbaijan,2
2023-07-28,Belgium,9
2023-07-28,Belize,1
2023-07-28,Benin,17
2023-07-28,Bermuda,1
2023-07-28,Bolivia,176
2023-07-28,Bonaire,1
2023-07-28,Bosnia and Herzegovina,1
2023-07-28,Botswana,1
2023-07-28,Brazil,488
2023-07-28,British Indian Ocean Territory,1
2023-07-28,Burkina Faso,11
2023-07-28,Cameroon,14
2023-07-28,Canada,24
2023-07-28,Central African Republic,2
2023-07-28,Chad,1
2023-07-28,Chile,2830
2023-07-28,China,3
2023-07-28,Colombia,2721
2023-07-28,Congo,34
2023-07-28,Costa Rica,274
2023-07-28,Croatia,1
2023-07-28,Cuba,8
2023-07-28,Curaçao,2
2023-07-28,Czechia,2
2023-07-28,Côte d'Ivoire,20
2023-07-28,Denmark,1
2023-07-28,Djibouti,1
2023-07-28,Dominican Republic,139
2023-07-28,Ecuador,562
2023-07-28,Egypt,13
2023-07-28,El Salvador,85
2023-07-28,Equatorial Guinea,2
2023-07-28,Error: ,229
2023-07-28,Error: 'NoneType' object has no attribute 'name',3
2023-07-28,Error: (0) Could not interpret numbers after plus-sign.,16
2023-07-28,Ethiopia,1
2023-07-28,Finland,3
2023-07-28,France,30
2023-07-28,French Guiana,3
2023-07-28,French Polynesia,1
2023-07-28,Gabon,7
2023-07-28,Germany,37
2023-07-28,Ghana,1
2023-07-28,Greece,2
2023-07-28,Guatemala,82
2023-07-28,Guinea,2
2023-07-28,Guyana,3
2023-07-28,Haiti,4
2023-07-28,Honduras,104
2023-07-28,Hungary,2
2023-07-28,India,4
2023-07-28,Indonesia,18
2023-07-28,Iran,1
2023-07-28,Ireland,5
2023-07-28,Israel,26
2023-07-28,Italy,51
2023-07-28,Jamaica,3
2023-07-28,Jordan,1
2023-07-28,Kazakhstan,3
2023-07-28,Korea,1
2023-07-28,Lebanon,1
2023-07-28,Lithuania,1
2023-07-28,Madagascar,1
2023-07-28,Malaysia,14
2023-07-28,Malta,2
2023-07-28,Martinique,1
2023-07-28,Mexico,944
2023-07-28,Moldova,1
2023-07-28,Monaco,1
2023-07-28,Morocco,427
2023-07-28,Myanmar,1
2023-07-28,Netherlands,10
2023-07-28,New Caledonia,1
2023-07-28,New Zealand,9
2023-07-28,Nicaragua,63
2023-07-28,Nigeria,1
2023-07-28,Norway,1
2023-07-28,Pakistan,2
2023-07-28,Panama,213
2023-07-28,Papua New Guinea,1
2023-07-28,Paraguay,852
2023-07-28,Peru,528
2023-07-28,Philippines,7
2023-07-28,Poland,2
2023-07-28,Portugal,4
2023-07-28,Puerto Rico,8
2023-07-28,Romania,4
2023-07-28,Russian Federation,6
2023-07-28,San Marino,1
2023-07-28,Saudi Arabia,1
2023-07-28,Senegal,6
2023-07-28,Serbia,1
2023-07-28,Seychelles,1
2023-07-28,Sierra Leone,1
2023-07-28,Singapore,5
2023-07-28,South Africa,16
2023-07-28,South Sudan,1
2023-07-28,Spain,2975
2023-07-28,Sri Lanka,3
2023-07-28,Sudan,4
2023-07-28,Suriname,1
2023-07-28,Sweden,6
2023-07-28,Switzerland,12
2023-07-28,Tanzania,1
2023-07-28,Togo,14
2023-07-28,Trinidad and Tobago,1
2023-07-28,Tunisia,2
2023-07-28,Turkey,2
2023-07-28,Turkmenistan,1
2023-07-28,United Arab Emirates,5
2023-07-28,United Kingdom,41
2023-07-28,United States,253
2023-07-28,Uruguay,1843
2023-07-28,Venezuela,2061
2023-07-28,Virgin Islands,1
2023-07-28,Wallis and Futuna,1
2023-07-28,Yemen,10
2023-07-28,Zambia,1
2023-07-29,Algeria,2
2023-07-29,Andorra,1
2023-07-29,Argentina,9352
2023-07-29,Aruba,1
2023-07-29,Australia,16
2023-07-29,Austria,3
2023-07-29,Azerbaijan,1
2023-07-29,Bahrain,1
2023-07-29,Bangladesh,1
2023-07-29,Belgium,4
2023-07-29,Belize,1
2023-07-29,Benin,11
2023-07-29,Bolivia,124
2023-07-29,Brazil,245
2023-07-29,British Indian Ocean Territory,1
2023-07-29,Burkina Faso,11
2023-07-29,Cambodia,1
2023-07-29,Cameroon,17
2023-07-29,Canada,14
2023-07-29,Cayman Islands,1
2023-07-29,Central African Republic,3
2023-07-29,Chile,1443
2023-07-29,China,3
2023-07-29,Colombia,1728
2023-07-29,Congo,32
2023-07-29,Cook Islands,1
2023-07-29,Costa Rica,169
2023-07-29,Cuba,6
2023-07-29,Curaçao,2
2023-07-29,Cyprus,1
2023-07-29,Czechia,1
2023-07-29,Côte d'Ivoire,13
2023-07-29,Denmark,2
2023-07-29,Djibouti,1
2023-07-29,Dominican Republic,119
2023-07-29,Ecuador,381
2023-07-29,Egypt,8
2023-07-29,El Salvador,79
2023-07-29,Equatorial Guinea,2
2023-07-29,Error: ,168
2023-07-29,Error: 'NoneType' object has no attribute 'name',4
